,Product Name,Brand,Ram,Storage,Battery,Screen_size,Rear_Camera,Front_Camera,Rating,Rating_Category,Rating_Count,Review_Count,Total_Engagements,Offer,Price,Price_Range
32,POCO C65,POCO,6,128 ,5000,6.74,50MP + AI Lens + 2MP,8MP,4.3,Very Good,30271,1452,31723,20,9499,<10K
33,Samsung Galaxy F06 5G,Samsung,4,128 ,5000,6.7,50MP + 2MP,8MP,4.1,Very Good,13952,1014,14966,32,9499,<10K
34,Samsung Galaxy F06 5G,Samsung,4,128 ,5000,6.7,50MP + 2MP,8MP,4.1,Very Good,13952,1014,14966,32,9499,<10K
35,POCO M7 5G,POCO,6,128 ,5160,6.88,50MP Rear Camera,8MP,4.1,Very Good,20876,1180,22056,26,9499,<10K
36,REDMI 14C 5G,REDMI,4,64 ,5160,6.88,50MP Rear Camera,8MP,4.2,Very Good,3475,212,3687,26,9499,<10K
37,POCO M7 5G,POCO,6,128 ,5160,6.88,50MP Rear Camera,8MP,4.1,Very Good,20876,1180,22056,26,9499,<10K
38,Samsung Galaxy F06 5G,Samsung,4,128 ,5000,6.7,50MP + 2MP,8MP,4.1,Very Good,13952,1014,14966,32,9499,<10K
39,Samsung Galaxy F06 5G,Samsung,4,128 ,5000,6.7,50MP + 2MP,8MP,4.1,Very Good,13952,1014,14966,32,9499,<10K
40,itel Color Pro 5G,itel,6,128 ,5000,6.6,50MP + 2MP,8MP,4.3,Very Good,173,17,190,28,9598,<10K
41,REDMI 14C 5G,REDMI,4,64 ,5160,6.88,50MP Rear Camera,8MP,4.2,Very Good,3475,212,3687,25,9689,<10K
42,REDMI 13C,REDMI,6,128 ,5000,6.74,50MP Rear Camera,8MP,4.2,Very Good,25235,1024,26259,24,9790,<10K
43,REDMI 14C 5G,REDMI,4,64 ,5160,6.88,50MP Rear Camera,8MP,4.2,Very Good,3475,212,3687,23,9980,<10K
44,REDMI 12,REDMI,6,128 ,5000,6.79,50MP + 8MP + 2MP,8MP,4.2,Very Good,74894,4403,79297,37,9999,<10K
45,Tecno Spark 30C 5G,Tecno,4,64 ,5000,6.67,48MP Rear Camera,8MP,4.2,Very Good,717,35,752,16,9999,<10K
46,Tecno Spark 30C 5G,Tecno,4,64 ,5000,6.67,48MP Rear Camera,8MP,4.2,Very Good,717,35,752,16,9999,<10K
47,MOTOROLA g35 5G,MOTOROLA,4,128 ,5000,6.72,50MP + 8MP,16MP,4.2,Very Good,55519,4288,59807,20,9999,<10K
48,MOTOROLA g35 5G,MOTOROLA,4,128 ,5000,6.72,50MP + 8MP,16MP,4.2,Very Good,55519,4288,59807,20,9999,<10K
49,MOTOROLA g35 5G,MOTOROLA,4,128 ,5000,6.72,50MP + 8MP,16MP,4.2,Very Good,55519,4288,59807,20,9999,<10K
